# THIS IS A COMMENT LINE. CHARACTER '#' MUST BE THE FIRST
# CHARACTER OF A COMMENT LINE

# Input values are as following:
# ActiveXPosition Type SubType YPosition

# ActiveXPosition: 	position where trigger happens
# Type: 		which type of entity is created
# SubType: 		more accurate subtype of the entity
# YPosition: 		spawning altitude




# Start of level information...


340 2 100 240

500 2 105 70

900 2 100 200
900 2 100 240

1500 2 100 210
1500 2 100 250

1528 2 104 350
1528 2 105 70

1700 2 100 220

2140 2 104 160
2140 2 104 220

2590 2 105 150

2600 2 100 50

#Asteroid field starts

3200 2 103 -350
3300 2 103 -150

3600 2 103 -50
3700 2 103 -100
3800 2 103 -150
3950 2 103 0

4000 2 103 -150

4000 2 100 120
4000 2 100 180
4000 2 100 240
4000 2 100 300
4000 2 100 360

# Special effect: slow motion 2x
4100 5 10000 10000

4100 2 100 150
4100 2 100 210
4100 2 100 270
4100 2 100 330
4100 2 100 390

4200 2 103 -150


4200 2 100 120
4200 2 100 180
4200 2 100 240
4200 2 100 300
4200 2 100 360
4200 2 100 420

4250 2 103 -250
4300 2 103 -0

4300 2 100 150
4300 2 100 210
4300 2 100 270
4300 2 100 330
4300 2 100 390

4400 2 103 0

4400 2 100 120
4400 2 100 180
4400 2 100 240
4400 2 100 300
4400 2 100 360
4400 2 100 420

4500 2 103 -250
4500 2 103 0

4500 2 100 120
4500 2 100 180
4500 2 100 240
4500 2 100 300
4500 2 100 360
4500 2 100 420

4680 2 100 120
4680 2 100 180
4680 2 100 240
4680 2 100 300
4680 2 100 360
4680 2 100 420

#Asteroid field ends

4730 2 105 110
4730 2 104 310

5020 2 105 140
5020 2 104 300

5800 2 100 20
5800 2 100 60
5800 2 100 380
5800 2 100 420

6425 2 104 183
6425 2 105 233

7000 2 100 40
7000 2 100 400


# The ending point of level 1
8340 2 101 200

# ...end of level information.
