# Start of level information...

340 2 100 230

450 2 104 120
450 2 105 308
630 2 104 120
630 2 105 308
800 2 104 120
800 2 105 308

1000 2 100 40
1000 2 100 420
1020 2 100 80
1020 2 100 380

1500 2 100 200
1500 2 100 260

2040 2 100 230
2080 2 100 230
2120 2 100 230

2600 2 100 40
2600 2 100 80
2700 2 100 40
2700 2 100 80
2800 2 100 40
2800 2 100 80

3000 2 105 240
3200 2 105 240
3300 2 105 335
3640 2 104 340
3740 2 104 340

#Big fleets start
4600 2 106 100
4600 2 100 160
4600 2 106 340
4600 2 100 400

5100 2 106 400
5100 2 100 280
5100 2 106 220
5100 2 100 160

5600 2 106 160
5600 2 100 220
5600 2 106 400
#Big fleets end

6150 2 104 83
6150 2 105 345
6300 2 104 83
6300 2 105 345

6500 2 100 200
6500 2 100 250
6650 2 100 200
6650 2 100 250
6800 2 100 200
6800 2 100 250

7190 2 105 123
7190 2 104 305

7500 2 100 40
7500 2 100 420
7600 2 100 40
7600 2 100 420
7700 2 100 40
7700 2 100 420

7800 2 105 80
7800 2 104 350
8000 2 105 80
8000 2 104 350

# The ending point of level 2
8340 2 101 200

# ...end of level information.
